# t	s_num	e_num	p_num
1.53 0.0552653 4.47044 4.41518
1.54 0.0528322 4.53464 4.48181
1.55 0.0504735 4.59971 4.54924
1.56 0.0481886 4.66565 4.61746
1.57 0.0459766 4.73248 4.68651
1.58 0.0438366 4.80021 4.75637
1.59 0.0417678 4.86884 4.82707
1.6 0.0397691 4.93839 4.89862
1.61 0.0378396 5.00886 4.97102
1.62 0.0359781 5.08028 5.0443
1.63 0.0341836 5.15264 5.11846
1.64 0.032455 5.22596 5.19351
1.65 0.030791 5.30025 5.26946
1.66 0.0291906 5.37553 5.34634
1.67 0.0276523 5.45179 5.42414
1.68 0.026175 5.52906 5.50289
1.69 0.0247574 5.60735 5.58259
1.7 0.0233981 5.68666 5.66326
1.71 0.0220958 5.76701 5.74491
1.72 0.0208491 5.84841 5.82756
1.73 0.0196567 5.93087 5.91122
1.74 0.018517 6.01441 5.9959
1.75 0.0174288 6.09904 6.08161
1.76 0.0163906 6.18477 6.16838
1.77 0.0154009 6.27161 6.25621
1.78 0.0144583 6.35957 6.34511
1.79 0.0135614 6.44868 6.43512
1.8 0.0127088 6.53894 6.52623
1.81 0.0118989 6.63037 6.61847
1.82 0.0111304 6.72297 6.71184
1.83 0.0104019 6.81677 6.80637
1.84 0.00971181 6.91179 6.90207
1.85 0.00905887 7.00802 6.99896
1.86 0.00844165 7.10549 7.09705
1.87 0.00785878 7.20422 7.19636
1.88 0.00730888 7.30422 7.29691
1.89 0.00679062 7.4055 7.39871
1.9 0.00630268 7.50808 7.50178
1.91 0.00584377 7.61198 7.60613
1.92 0.00541261 7.71721 7.71179
1.93 0.00500796 7.82379 7.81878
1.94 0.00462859 7.93173 7.9271
1.95 0.00427331 8.04106 8.03679
1.96 0.00394096 8.15179 8.14785
1.97 0.00363042 8.26394 8.26031
1.98 0.00334057 8.37752 8.37418
1.99 0.00307035 8.49256 8.48949
2 0.00281873 8.60907 8.60625
2.01 0.00258469 8.72707 8.72449
2.02 0.00236728 8.84658 8.84422
2.03 0.00216554 8.96763 8.96546
2.04 0.00197859 9.09022 9.08824
2.05 0.00180554 9.21438 9.21258
2.06 0.00164557 9.34013 9.33849
2.07 0.00149788 9.4675 9.466
2.08 0.0013617 9.59649 9.59513
2.09 0.00123629 9.72714 9.7259
2.1 0.00112096 9.85946 9.85834
2.11 0.00101503 9.99348 9.99247
2.12 0.000917879 10.1292 10.1283
2.13 0.00082889 10.2667 10.2659
2.14 0.000747494 10.4059 10.4052
2.15 0.000673147 10.547 10.5463
2.16 0.000605334 10.6898 10.6892
2.17 0.000543572 10.8345 10.8339
2.18 0.0004874 10.981 10.9805
2.19 0.000436389 11.1294 11.129
2.2 0.000390134 11.2798 11.2794
2.21 0.000348254 11.432 11.4317
2.22 0.000310394 11.5862 11.5859
2.23 0.000276221 11.7424 11.7422
2.24 0.000245424 11.9007 11.9004
2.25 0.000217714 12.0609 12.0607
2.26 0.000192821 12.2232 12.223
2.27 0.000170496 12.3877 12.3875
2.28 0.000150506 12.5542 12.554
2.29 0.000132638 12.7229 12.7227
2.3 0.000116692 12.8937 12.8936
2.31 0.000102487 13.0668 13.0667
2.32 8.9855e-05 13.2421 13.242
2.33 7.86408e-05 13.4197 13.4196
2.34 6.87033e-05 13.5996 13.5995
2.35 5.9913e-05 13.7817 13.7817
2.36 5.21516e-05 13.9663 13.9662
2.37 4.53115e-05 14.1532 14.1532
2.38 3.92944e-05 14.3426 14.3426
2.39 3.40116e-05 14.5344 14.5344
2.4 2.93822e-05 14.7287 14.7287
2.41 2.53333e-05 14.9256 14.9255
2.42 2.17991e-05 15.1249 15.1249
2.43 1.87204e-05 15.3269 15.3269
2.44 1.60438e-05 15.5315 15.5315
2.45 1.37217e-05 15.7387 15.7387
2.46 1.17112e-05 15.9487 15.9486
2.47 9.97415e-06 16.1613 16.1613
2.48 8.4766e-06 16.3767 16.3767
2.49 7.1883e-06 16.595 16.595
2.5 6.08242e-06 16.816 16.816
2.51 5.13524e-06 17.04 17.04
2.52 4.3258e-06 17.2668 17.2668
2.53 3.63563e-06 17.4966 17.4966
2.54 3.04852e-06 17.7294 17.7294
2.55 2.55024e-06 17.9653 17.9653
2.56 2.12834e-06 18.2042 18.2042
2.57 1.77198e-06 18.4462 18.4462
2.58 1.47169e-06 18.6914 18.6914
2.59 1.21928e-06 18.9398 18.9398
2.6 1.00764e-06 19.1914 19.1914
2.61 8.30631e-07 19.4463 19.4463
2.62 6.82961e-07 19.7045 19.7045
2.63 5.60086e-07 19.9661 19.9661
2.64 4.58111e-07 20.2311 20.2311
2.65 3.73704e-07 20.4995 20.4995
2.66 3.04027e-07 20.7715 20.7715
2.67 2.46665e-07 21.047 21.047
2.68 1.99571e-07 21.3261 21.3261
2.69 1.61016e-07 21.6089 21.6089
2.7 1.2954e-07 21.8954 21.8954
2.71 1.03917e-07 22.1856 22.1856
2.72 8.31193e-08 22.4796 22.4796
2.73 6.62875e-08 22.7774 22.7774
2.74 5.27059e-08 23.0792 23.0792
2.75 4.178e-08 23.3849 23.3849
2.76 3.30173e-08 23.6946 23.6946
2.77 2.60112e-08 24.0083 24.0083
2.78 2.04272e-08 24.3261 24.3261
2.79 1.59907e-08 24.6481 24.6481
2.8 1.24773e-08 24.9744 24.9744
2.81 9.70389e-09 25.3049 25.3049
2.82 7.5219e-09 25.6397 25.6397
2.83 5.81094e-09 25.9789 25.9789
2.84 4.47386e-09 26.3225 26.3225
2.85 3.43255e-09 26.6707 26.6707
2.86 2.62439e-09 27.0234 27.0234
2.87 1.9994e-09 27.3807 27.3807
2.88 1.51778e-09 27.7428 27.7428
2.89 1.14799e-09 28.1095 28.1095
2.9 8.65094e-10 28.4811 28.4811
2.91 6.49478e-10 28.8575 28.8575
2.92 4.85759e-10 29.2389 29.2389
2.93 3.61919e-10 29.6253 29.6253
2.94 2.68604e-10 30.0167 30.0167
2.95 1.98566e-10 30.4133 30.4133
2.96 1.46205e-10 30.8151 30.8151
2.97 1.07218e-10 31.2221 31.2221
2.98 7.83054e-11 31.6345 31.6345
2.99 5.69528e-11 32.0523 32.0523
3 4.1249e-11 32.4756 32.4756
3.01 2.97483e-11 32.9044 32.9044
