# t	TI	TM	I	u
1.33 0.850371 1.04998 3.73776 0.437733
1.34 0.848351 1.05069 3.76964 0.437295
1.35 0.84632 1.05141 3.80174 0.436858
1.36 0.844277 1.05213 3.83407 0.436421
1.37 0.842223 1.05285 3.86662 0.435985
1.38 0.840158 1.05357 3.89939 0.435549
1.39 0.838082 1.05429 3.9324 0.435114
1.4 0.835995 1.05501 3.96563 0.434679
1.41 0.833896 1.05573 3.99909 0.434245
1.42 0.831786 1.05645 4.03279 0.433811
1.43 0.829666 1.05717 4.06672 0.433377
1.44 0.827534 1.05789 4.10088 0.432944
1.45 0.825391 1.05861 4.13528 0.432511
1.46 0.823237 1.05933 4.16992 0.432079
1.47 0.821072 1.06005 4.2048 0.431647
1.48 0.818896 1.06077 4.23992 0.431216
1.49 0.816709 1.06148 4.27528 0.430785
1.5 0.814512 1.0622 4.31088 0.430354
1.51 0.812303 1.06292 4.34673 0.429924
1.52 0.810083 1.06364 4.38282 0.429494
1.53 0.807853 1.06436 4.41917 0.429065
1.54 0.805612 1.06507 4.45576 0.428636
1.55 0.80336 1.06579 4.49261 0.428208
1.56 0.801097 1.0665 4.5297 0.42778
1.57 0.798823 1.06721 4.56705 0.427352
1.58 0.796539 1.06792 4.60466 0.426925
1.59 0.794244 1.06864 4.64253 0.426498
1.6 0.791938 1.06934 4.68065 0.426072
1.61 0.789622 1.07005 4.71903 0.425646
1.62 0.787295 1.07076 4.75768 0.425221
1.63 0.784958 1.07146 4.79659 0.424796
1.64 0.78261 1.07217 4.83576 0.424371
1.65 0.780251 1.07287 4.8752 0.423947
1.66 0.777882 1.07357 4.91491 0.423523
1.67 0.775502 1.07426 4.95489 0.4231
1.68 0.773112 1.07496 4.99514 0.422677
1.69 0.770712 1.07565 5.03566 0.422254
1.7 0.768301 1.07634 5.07646 0.421832
1.71 0.76588 1.07703 5.11753 0.421411
1.72 0.763448 1.07772 5.15888 0.42099
1.73 0.761007 1.0784 5.20051 0.420569
1.74 0.758555 1.07908 5.24242 0.420148
1.75 0.756092 1.07976 5.28461 0.419729
1.76 0.75362 1.08044 5.32709 0.419309
1.77 0.751137 1.08111 5.36986 0.41889
1.78 0.748645 1.08178 5.41291 0.418471
1.79 0.746142 1.08245 5.45625 0.418053
1.8 0.743629 1.08311 5.49988 0.417635
1.81 0.741106 1.08377 5.5438 0.417218
1.82 0.738574 1.08443 5.58802 0.416801
1.83 0.736031 1.08508 5.63253 0.416384
1.84 0.733478 1.08573 5.67734 0.415968
1.85 0.730916 1.08638 5.72244 0.415552
1.86 0.728343 1.08702 5.76785 0.415137
1.87 0.725761 1.08766 5.81356 0.414722
1.88 0.72317 1.0883 5.85958 0.414307
1.89 0.720568 1.08893 5.9059 0.413893
1.9 0.717957 1.08956 5.95253 0.41348
1.91 0.715336 1.09018 5.99946 0.413066
1.92 0.712705 1.0908 6.04671 0.412653
1.93 0.710065 1.09141 6.09427 0.412241
1.94 0.707416 1.09202 6.14214 0.411829
1.95 0.704757 1.09263 6.19033 0.411417
1.96 0.702088 1.09323 6.23883 0.411006
1.97 0.69941 1.09383 6.28766 0.410595
1.98 0.696723 1.09442 6.3368 0.410185
1.99 0.694027 1.095 6.38627 0.409775
2 0.691321 1.09558 6.43606 0.409365
2.01 0.688606 1.09616 6.48617 0.408956
2.02 0.685882 1.09673 6.53661 0.408547
2.03 0.683149 1.0973 6.58739 0.408139
2.04 0.680407 1.09786 6.63849 0.407731
2.05 0.677655 1.09841 6.68992 0.407324
2.06 0.674895 1.09896 6.74169 0.406917
2.07 0.672126 1.0995 6.7938 0.40651
2.08 0.669348 1.10004 6.84624 0.406104
2.09 0.666561 1.10057 6.89902 0.405698
2.1 0.663765 1.10109 6.95214 0.405292
2.11 0.66096 1.10161 7.0056 0.404887
2.12 0.658147 1.10212 7.05941 0.404482
2.13 0.655325 1.10263 7.11356 0.404078
2.14 0.652495 1.10313 7.16806 0.403674
2.15 0.649656 1.10362 7.22291 0.403271
2.16 0.646809 1.10411 7.27811 0.402868
2.17 0.643953 1.10459 7.33366 0.402465
2.18 0.641089 1.10506 7.38957 0.402063
2.19 0.638216 1.10553 7.44583 0.401661
2.2 0.635335 1.10598 7.50245 0.401259
2.21 0.632446 1.10644 7.55943 0.400858
2.22 0.629549 1.10688 7.61677 0.400458
2.23 0.626644 1.10732 7.67447 0.400057
2.24 0.623731 1.10775 7.73253 0.399658
2.25 0.620809 1.10817 7.79096 0.399258
2.26 0.61788 1.10858 7.84976 0.398859
2.27 0.614943 1.10899 7.90892 0.39846
2.28 0.611998 1.10938 7.96846 0.398062
2.29 0.609046 1.10977 8.02837 0.397664
2.3 0.606085 1.11016 8.08865 0.397267
2.31 0.603117 1.11053 8.14931 0.39687
2.32 0.600142 1.11089 8.21034 0.396473
2.33 0.597159 1.11125 8.27175 0.396077
2.34 0.594168 1.1116 8.33354 0.395681
2.35 0.591171 1.11194 8.39572 0.395285
2.36 0.588165 1.11227 8.45827 0.39489
2.37 0.585153 1.11259 8.52121 0.394496
2.38 0.582134 1.11291 8.58454 0.394101
2.39 0.579107 1.11321 8.64826 0.393707
2.4 0.576073 1.1135 8.71236 0.393314
2.41 0.573033 1.11379 8.77686 0.392921
2.42 0.569985 1.11407 8.84174 0.392528
2.43 0.566931 1.11433 8.90702 0.392136
2.44 0.563869 1.11459 8.9727 0.391744
2.45 0.560801 1.11484 9.03877 0.391352
2.46 0.557727 1.11508 9.10524 0.390961
2.47 0.554646 1.1153 9.17211 0.39057
2.48 0.551558 1.11552 9.23938 0.39018
2.49 0.548464 1.11573 9.30705 0.38979
2.5 0.545364 1.11593 9.37513 0.3894
2.51 0.542257 1.11612 9.44361 0.389011
2.52 0.539144 1.11629 9.5125 0.388622
2.53 0.536025 1.11646 9.5818 0.388234
2.54 0.532901 1.11662 9.6515 0.387846
2.55 0.52977 1.11676 9.72162 0.387458
2.56 0.526633 1.1169 9.79215 0.387071
2.57 0.52349 1.11702 9.86309 0.386684
2.58 0.520342 1.11713 9.93444 0.386298
2.59 0.517188 1.11723 10.0062 0.385912
2.6 0.514028 1.11733 10.0784 0.385526
2.61 0.510863 1.1174 10.151 0.38514
2.62 0.507693 1.11747 10.224 0.384756
2.63 0.504517 1.11753 10.2975 0.384371
2.64 0.501336 1.11757 10.3713 0.383987
2.65 0.498149 1.11761 10.4456 0.383603
2.66 0.494958 1.11763 10.5203 0.38322
2.67 0.491762 1.11764 10.5955 0.382837
2.68 0.488561 1.11764 10.6711 0.382454
2.69 0.485355 1.11762 10.747 0.382072
2.7 0.482144 1.1176 10.8235 0.38169
2.71 0.478929 1.11756 10.9003 0.381308
2.72 0.475709 1.11751 10.9776 0.380927
2.73 0.472484 1.11745 11.0553 0.380546
2.74 0.469255 1.11737 11.1334 0.380166
2.75 0.466022 1.11728 11.212 0.379786
2.76 0.462785 1.11718 11.291 0.379406
2.77 0.459544 1.11707 11.3705 0.379027
2.78 0.456298 1.11694 11.4503 0.378648
2.79 0.453049 1.1168 11.5307 0.37827
2.8 0.449796 1.11665 11.6114 0.377892
2.81 0.446539 1.11649 11.6926 0.377514
2.82 0.443278 1.11631 11.7742 0.377137
2.83 0.440014 1.11612 11.8563 0.37676
2.84 0.436747 1.11591 11.9388 0.376383
2.85 0.433476 1.11569 12.0217 0.376007
2.86 0.430202 1.11546 12.1051 0.375631
2.87 0.426925 1.11522 12.1889 0.375256
2.88 0.423644 1.11496 12.2732 0.374881
2.89 0.420361 1.11468 12.3579 0.374506
2.9 0.417075 1.1144 12.4431 0.374132
2.91 0.413786 1.1141 12.5286 0.373758
2.92 0.410495 1.11378 12.6147 0.373384
2.93 0.407201 1.11345 12.7012 0.373011
2.94 0.403904 1.11311 12.7881 0.372638
2.95 0.400606 1.11276 12.8754 0.372266
2.96 0.397305 1.11238 12.9633 0.371894
2.97 0.394001 1.112 13.0515 0.371522
2.98 0.390696 1.1116 13.1402 0.371151
2.99 0.387389 1.11118 13.2293 0.37078
3 0.38408 1.11076 13.3189 0.370409
3.01 0.38077 1.11031 13.409 0.370039
3.02 0.377458 1.10985 13.4994 0.369669
3.03 0.374144 1.10938 13.5903 0.3693
3.04 0.370829 1.10889 13.6817 0.36893
3.05 0.367513 1.10839 13.7735 0.368562
3.06 0.364195 1.10787 13.8657 0.368193
3.07 0.360877 1.10734 13.9584 0.367825
3.08 0.357557 1.10679 14.0516 0.367458
3.09 0.354237 1.10623 14.1451 0.36709
3.1 0.350916 1.10565 14.2391 0.366723
3.11 0.347595 1.10506 14.3336 0.366357
3.12 0.344273 1.10445 14.4285 0.365991
3.13 0.340951 1.10383 14.5238 0.365625
3.14 0.337628 1.10319 14.6196 0.36526
3.15 0.334305 1.10253 14.7158 0.364894
3.16 0.330983 1.10186 14.8124 0.36453
3.17 0.32766 1.10118 14.9095 0.364165
3.18 0.324338 1.10048 15.007 0.363801
3.19 0.321016 1.09976 15.1049 0.363438
3.2 0.317694 1.09903 15.2033 0.363075
3.21 0.314373 1.09828 15.3021 0.362712
3.22 0.311053 1.09752 15.4013 0.362349
3.23 0.307734 1.09674 15.501 0.361987
3.24 0.304415 1.09594 15.6011 0.361625
3.25 0.301098 1.09513 15.7016 0.361264
3.26 0.297782 1.0943 15.8025 0.360903
3.27 0.294467 1.09346 15.9039 0.360542
3.28 0.291153 1.0926 16.0057 0.360182
3.29 0.287841 1.09173 16.1079 0.359822
3.3 0.284531 1.09084 16.2105 0.359462
3.31 0.281222 1.08993 16.3135 0.359103
3.32 0.277916 1.08901 16.417 0.358744
3.33 0.274611 1.08807 16.5208 0.358385
3.34 0.271309 1.08711 16.6251 0.358027
3.35 0.268009 1.08614 16.7298 0.357669
3.36 0.264711 1.08516 16.8348 0.357312
3.37 0.261416 1.08415 16.9403 0.356954
3.38 0.258124 1.08313 17.0462 0.356598
3.39 0.254834 1.0821 17.1525 0.356241
3.4 0.251547 1.08105 17.2591 0.355885
3.41 0.248264 1.07998 17.3662 0.355529
3.42 0.244983 1.07889 17.4737 0.355174
3.43 0.241706 1.07779 17.5815 0.354819
3.44 0.238432 1.07668 17.6897 0.354464
3.45 0.235162 1.07555 17.7983 0.35411
3.46 0.231895 1.0744 17.9073 0.353756
3.47 0.228633 1.07323 18.0167 0.353403
3.48 0.225374 1.07205 18.1264 0.353049
3.49 0.222119 1.07085 18.2365 0.352697
3.5 0.218868 1.06964 18.3469 0.352344
3.51 0.215622 1.06841 18.4578 0.351992
3.52 0.21238 1.06717 18.5689 0.35164
3.53 0.209143 1.06591 18.6805 0.351289
3.54 0.205911 1.06463 18.7923 0.350937
3.55 0.202683 1.06333 18.9046 0.350587
3.56 0.19946 1.06203 19.0171 0.350236
3.57 0.196243 1.0607 19.13 0.349886
3.58 0.19303 1.05936 19.2433 0.349537
3.59 0.189823 1.058 19.3568 0.349187
3.6 0.186621 1.05663 19.4707 0.348838
3.61 0.183425 1.05524 19.585 0.348489
3.62 0.180235 1.05383 19.6995 0.348141
3.63 0.17705 1.05241 19.8143 0.347793
3.64 0.173872 1.05098 19.9295 0.347446
3.65 0.170699 1.04952 20.0449 0.347098
3.66 0.167533 1.04806 20.1607 0.346751
3.67 0.164373 1.04657 20.2767 0.346405
3.68 0.16122 1.04507 20.3931 0.346059
3.69 0.158073 1.04356 20.5097 0.345713
3.7 0.154933 1.04203 20.6265 0.345367
3.71 0.1518 1.04049 20.7437 0.345022
3.72 0.148674 1.03893 20.8611 0.344677
3.73 0.145555 1.03735 20.9788 0.344333
3.74 0.142443 1.03576 21.0968 0.343988
3.75 0.139338 1.03415 21.2149 0.343645
3.76 0.136241 1.03253 21.3334 0.343301
3.77 0.133152 1.0309 21.452 0.342958
3.78 0.13007 1.02924 21.5709 0.342615
3.79 0.126996 1.02758 21.6901 0.342273
3.8 0.12393 1.0259 21.8094 0.341931
3.81 0.120872 1.0242 21.929 0.341589
3.82 0.117823 1.02249 22.0487 0.341248
3.83 0.114781 1.02077 22.1687 0.340906
3.84 0.111749 1.01903 22.2889 0.340566
3.85 0.108724 1.01728 22.4092 0.340225
3.86 0.105709 1.01551 22.5297 0.339885
3.87 0.102702 1.01373 22.6504 0.339546
3.88 0.0997037 1.01193 22.7713 0.339206
3.89 0.0967147 1.01012 22.8923 0.338867
3.9 0.0937349 1.0083 23.0135 0.338528
3.91 0.0907643 1.00646 23.1348 0.33819
3.92 0.0878031 1.00461 23.2562 0.337852
3.93 0.0848514 1.00275 23.3778 0.337514
3.94 0.0819092 1.00087 23.4995 0.337177
3.95 0.0789768 0.998979 23.6213 0.33684
3.96 0.0760541 0.997074 23.7433 0.336503
3.97 0.0731414 0.995157 23.8653 0.336167
3.98 0.0702386 0.993226 23.9874 0.335831
3.99 0.067346 0.991283 24.1096 0.335495
4 0.0644637 0.989327 24.2319 0.33516
4.01 0.0615916 0.987358 24.3542 0.334825
4.02 0.05873 0.985377 24.4766 0.33449
4.03 0.055879 0.983384 24.5991 0.334156
4.04 0.0530386 0.981378 24.7216 0.333822
4.05 0.0502089 0.97936 24.8441 0.333488
4.06 0.0473901 0.97733 24.9667 0.333155
4.07 0.0445822 0.975288 25.0892 0.332822
4.08 0.0417853 0.973235 25.2118 0.332489
4.09 0.0389996 0.97117 25.3344 0.332157
4.1 0.0362251 0.969093 25.457 0.331825
4.11 0.0334619 0.967006 25.5796 0.331493
4.12 0.0307102 0.964907 25.7021 0.331162
4.13 0.0279699 0.962797 25.8246 0.330831
4.14 0.0252412 0.960676 25.9471 0.3305
4.15 0.0225242 0.958545 26.0695 0.33017
4.16 0.019819 0.956403 26.1918 0.32984
4.17 0.0171256 0.954251 26.3141 0.32951
4.18 0.0144441 0.952088 26.4363 0.329181
4.19 0.0117747 0.949915 26.5584 0.328852
4.2 0.00911737 0.947733 26.6804 0.328523
4.21 0.00647221 0.94554 26.8024 0.328195
4.22 0.0038393 0.943338 26.9242 0.327867
4.23 0.00121873 0.941127 27.0458 0.327539
4.24 -0.00138944 0.938906 27.1674 0.327212
4.25 -0.00398513 0.936676 27.2888 0.326885
4.26 -0.00656827 0.934438 27.41 0.326558
